"date","close","volume","open","high","low"
"16:00","69.07","1,027,678","69.85","70","69.02"
"2019/03/05","69.8600","1010498.0000","70.2600","70.5600","69.3200"
"2019/03/04","70.0500","930256.0000","70.8400","71.2400","69.1950"
"2019/03/01","70.5000","1182367.0000","70.6000","71.2300","69.5500"
"2019/02/28","70.1400","1166371.0000","68.8700","70.3400","68.8700"
"2019/02/27","69.3500","1120064.0000","69.6200","69.6200","68.0300"
"2019/02/26","69.1400","1264990.0000","68.4100","69.5700","68.1200"
"2019/02/25","68.7000","1724980.0000","68.8500","69.9100","68.5800"
"2019/02/22","67.8000","1470147.0000","66.6100","68.1600","66.5300"
"2019/02/21","66.0600","1377425.0000","66.0000","66.7900","65.2400"
"2019/02/20","65.8600","1727510.0000","65.2100","66.1600","64.8400"
"2019/02/19","64.8700","1666201.0000","65.0000","65.5300","64.8000"
"2019/02/15","65.1600","1532899.0000","65.3100","65.5800","64.8000"
"2019/02/14","64.6700","1670532.0000","64.6900","65.3700","64.3400"
"2019/02/13","64.9000","1427977.0000","65.2900","65.5100","64.7300"
"2019/02/12","65.1800","1594351.0000","65.1700","65.7350","64.8100"
"2019/02/11","64.5000","1174403.0000","64.4900","65.4500","64.3200"
"2019/02/08","64.5100","3754395.0000","60.8100","65.0850","59.5600"
"2019/02/07","66.5300","1844536.0000","67.7800","68.2800","66.2300"
"2019/02/06","68.6300","2133162.0000","67.7500","70.6850","67.7300"
"2019/02/05","66.0400","818358.0000","66.0200","66.3600","65.5100"
"2019/02/04","65.9600","890113.0000","65.7800","66.4200","65.2900"
"2019/02/01","65.9200","579027.0000","65.4700","66.3800","65.3550"
"2019/01/31","65.3600","977026.0000","65.4700","65.7700","64.5800"
"2019/01/30","65.5300","636246.0000","64.5600","65.8400","64.0800"
"2019/01/29","63.6600","1215944.0000","65.1000","65.1850","63.3700"
"2019/01/28","65.0900","921739.0000","64.1200","65.7400","63.6300"
"2019/01/25","65.7600","1463472.0000","64.3400","66.3000","63.5400"
"2019/01/24","63.3800","953825.0000","62.2700","64.1500","62.2700"
"2019/01/23","61.9100","776044.0000","62.1000","62.3300","60.9300"
"2019/01/22","61.9400","737876.0000","62.4900","62.7200","61.2700"
"2019/01/18","63.2800","888198.0000","62.5500","63.5700","62.1600"
"2019/01/17","62.2500","948639.0000","60.8900","62.5800","60.0000"
"2019/01/16","61.4100","734132.0000","61.6100","62.4700","61.3600"
"2019/01/15","61.5600","641768.0000","61.3800","62.2600","61.1600"
"2019/01/14","61.1800","1255957.0000","62.8000","62.8000","61.0500"
"2019/01/11","63.6900","1506371.0000","61.7000","64.5200","61.4800"
"2019/01/10","61.8600","3126548.0000","61.0100","62.3800","60.1200"
"2019/01/09","60.4500","1986299.0000","59.8700","61.7400","59.4900"
"2019/01/08","59.3700","1505160.0000","60.0300","60.0300","58.9000"
"2019/01/07","59.7800","1058449.0000","59.3800","60.8700","58.8400"
"2019/01/04","59.3700","1976681.0000","56.4800","59.4500","56.3100"
"2019/01/03","55.6400","2834898.0000","57.9500","58.4500","54.7350"
"2019/01/02","61.1800","724241.0000","59.6200","62.0000","59.6200"
"2018/12/31","60.7300","809082.0000","61.3400","61.7500","59.8400"
"2018/12/28","60.7900","1107927.0000","60.9800","62.2200","59.9600"
"2018/12/27","60.3900","926779.0000","59.3300","60.4200","58.2400"
"2018/12/26","60.0200","865245.0000","57.2000","60.0700","56.3300"
"2018/12/24","56.4700","643338.0000","57.1100","59.2400","56.4600"
"2018/12/21","57.6800","2558091.0000","59.6500","61.0300","57.1100"
"2018/12/20","59.8000","1854426.0000","59.8100","60.8200","58.5300"
"2018/12/19","59.6400","1161120.0000","61.3200","62.3000","59.3300"
"2018/12/18","61.7000","1018493.0000","61.1500","62.9600","60.9700"
"2018/12/17","60.3400","1068128.0000","60.5300","62.3100","59.6800"
"2018/12/14","60.5200","1650705.0000","60.0000","61.5400","59.8300"
"2018/12/13","60.7700","1065004.0000","61.2500","61.7600","60.3700"
"2018/12/12","60.6400","1165159.0000","60.8000","62.1500","59.8300"
"2018/12/11","59.5800","1194498.0000","60.7300","61.6900","59.2000"
"2018/12/10","59.5200","1571096.0000","60.1000","60.7900","58.9100"
"2018/12/07","61.1300","1104737.0000","62.5900","63.3800","60.9100"
"2018/12/06","62.7200","2285182.0000","61.8500","62.7400","60.7900"
"2018/12/04","64.1600","1589571.0000","67.4800","67.5900","64.0400"
"2018/12/03","67.7500","1424506.0000","67.6800","68.5300","67.2100"
"2018/11/30","65.8100","1704033.0000","65.4600","66.3000","64.8400"
"2018/11/29","65.2900","905997.0000","66.5600","67.2900","65.2000"
"2018/11/28","67.0200","1146495.0000","65.3200","67.1300","64.6200"
"2018/11/27","64.8300","768446.0000","64.8000","65.7500","64.7600"
"2018/11/26","65.4700","1088341.0000","65.2600","66.0500","64.6125"
"2018/11/23","64.3300","464445.0000","63.2600","64.9000","63.2600"
"2018/11/21","63.5800","1792412.0000","63.2700","64.4500","62.6500"
"2018/11/20","62.0200","2354487.0000","61.3400","62.9500","61.3000"
"2018/11/19","63.1500","1893294.0000","65.5000","66.2400","63.0600"
"2018/11/16","66.3200","1555865.0000","64.4100","66.8300","64.2271"
"2018/11/15","65.1600","1578693.0000","62.9100","65.4000","62.7400"
"2018/11/14","62.8800","3132328.0000","64.3000","64.4800","61.7300"
"2018/11/13","63.6500","3685736.0000","63.8900","65.6300","61.0000"
"2018/11/12","63.8000","2844933.0000","64.8500","65.2100","62.3900"
"2018/11/09","68.1500","2442295.0000","68.8700","69.0000","66.2000"
"2018/11/08","70.7300","1229692.0000","69.9000","71.1900","69.3600"
"2018/11/07","70.2800","1254414.0000","70.5200","70.6800","68.7200"
"2018/11/06","70.0100","1182693.0000","69.6000","70.9600","69.3000"
"2018/11/05","69.3200","2554768.0000","72.2000","73.0003","66.7900"
"2018/11/02","74.0000","2260068.0000","77.4000","77.4353","73.7000"
"2018/11/01","78.4900","2711765.0000","75.0400","78.8850","74.3300"
"2018/10/31","73.5100","2465249.0000","71.5100","74.6900","70.6450"
"2018/10/30","70.9500","1699177.0000","69.4100","71.1700","68.9300"
"2018/10/29","69.3200","1507181.0000","70.8800","71.0900","68.3000"
"2018/10/26","69.7400","1380179.0000","69.2500","71.1800","69.1600"
"2018/10/25","70.9800","1265186.0000","69.0800","71.7300","69.0800"
"2018/10/24","68.1800","1413771.0000","71.4800","71.5500","68.0000"
"2018/10/23","72.3000","779840.0000","71.0500","72.7600","69.6400"
"2018/10/22","72.8800","613350.0000","72.6700","73.3200","71.8100"
"2018/10/19","72.3500","936864.0000","73.5900","74.3400","72.1400"
"2018/10/18","73.4000","697348.0000","75.0200","75.0700","73.1500"
"2018/10/17","75.4200","590506.0000","75.6700","76.1400","74.7700"
"2018/10/16","75.4500","1070150.0000","73.3100","75.5500","73.0500"
"2018/10/15","72.6300","646965.0000","72.0100","73.1000","71.8100"
"2018/10/12","72.6800","910457.0000","72.7000","73.5800","71.5500"
"2018/10/11","71.3900","1628123.0000","70.1600","73.3400","70.0600"
"2018/10/10","70.2900","1799476.0000","73.4500","73.4500","70.1400"
"2018/10/09","74.3400","1108394.0000","73.0000","74.6600","72.6700"
"2018/10/08","72.9800","862785.0000","72.4900","73.3200","71.2900"
"2018/10/05","72.6900","1466440.0000","75.9500","76.2800","72.0500"
"2018/10/04","76.1700","926760.0000","76.1000","76.4500","75.3300"
"2018/10/03","76.2500","1212358.0000","77.3700","77.8750","75.0600"
"2018/10/02","77.2900","915031.0000","77.2800","78.6900","77.2431"
"2018/10/01","77.1000","1182120.0000","77.1900","78.3100","76.6600"
"2018/09/28","76.8900","1030537.0000","74.5700","76.9554","74.0700"
"2018/09/27","74.7200","876625.0000","75.1200","75.4700","74.6000"
"2018/09/26","75.0600","914099.0000","75.7500","76.2000","74.6300"
"2018/09/25","76.2500","1153152.0000","78.2500","78.2500","75.3200"
"2018/09/24","78.4500","794025.0000","78.0200","78.8600","76.8200"
"2018/09/21","78.6200","2145556.0000","78.9800","79.2900","78.1200"
"2018/09/20","78.6700","1340827.0000","77.5500","79.0700","77.2700"
"2018/09/19","76.8100","988259.0000","75.1100","77.1400","75.1100"
"2018/09/18","75.0400","920390.0000","74.2700","75.5300","74.1000"
"2018/09/17","73.9700","1046486.0000","75.3800","75.9900","73.7900"
"2018/09/14","75.7400","756745.0000","75.7500","76.4000","75.2900"
"2018/09/13","75.3000","1630425.0000","74.5500","75.9800","73.6700"
"2018/09/12","73.4600","1261476.0000","72.8800","73.5300","71.5369"
"2018/09/11","73.3700","1306008.0000","73.5200","73.9700","72.3100"
"2018/09/10","73.9800","708500.0000","74.8800","74.9000","73.5200"
"2018/09/07","74.9500","2410133.0000","74.0000","76.4850","73.5200"
"2018/09/06","75.1300","1996881.0000","79.5500","79.9300","75.0900"
"2018/09/05","79.6800","665710.0000","80.4200","80.4900","79.3700"
"2018/09/04","80.2800","1234609.0000","79.8800","80.8400","79.5200"
"2018/08/31","80.0900","930360.0000","79.4000","80.4850","79.4000"
"2018/08/30","79.4000","633228.0000","80.0400","80.5600","79.2100"
"2018/08/29","80.2900","762544.0000","79.9300","80.4900","79.2950"
"2018/08/28","79.8300","819084.0000","79.9100","80.2085","79.0100"
"2018/08/27","79.5900","1141811.0000","79.8000","80.4900","79.4100"
"2018/08/24","79.6300","691255.0000","79.5600","79.9900","79.1600"
"2018/08/23","79.2000","966791.0000","80.2600","80.7900","78.9700"
"2018/08/22","80.6200","787477.0000","80.7500","81.2050","79.9700"
"2018/08/21","81.1000","1955899.0000","78.7200","81.2950","78.6200"
"2018/08/20","78.1800","1706302.0000","81.7100","81.8600","78.1200"
"2018/08/17","81.5000","1216282.0000","81.5700","81.9800","80.7400"
"2018/08/16","82.1600","1065376.0000","82.6000","82.6000","81.4500"
"2018/08/15","81.9500","1933933.0000","82.3300","82.4184","81.1100"
"2018/08/14","82.7900","1448489.0000","83.5200","83.9600","82.2150"
